% 'Music' dataset; normalised version.
@relation 'Music: -C 6'

@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-clam {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}
@attribute Mean_Acc1298_Mean_Mem40_Centroid numeric
@attribute Mean_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Mean_Mem40_Flux numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Mean_Acc1298_Std_Mem40_Centroid numeric
@attribute Mean_Acc1298_Std_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Std_Mem40_Flux numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Mean_Mem40_Centroid numeric
@attribute Std_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Std_Acc1298_Mean_Mem40_Flux numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Std_Mem40_Centroid numeric
@attribute Std_Acc1298_Std_Mem40_Rolloff numeric
@attribute Std_Acc1298_Std_Mem40_Flux numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute BH_LowPeakAmp numeric
@attribute BH_LowPeakBPM numeric
@attribute BH_HighPeakAmp numeric
@attribute BH_HighPeakBPM numeric
@attribute BHSUM1 numeric
@attribute BHSUM2 numeric
@attribute BHSUM3 numeric

@data
0,0,1,1,1,0,0.159915,0.028334,0.030533,0.372589,0.929686,0.574935,0.323464,0.613698,0.246038,0.23502,0.490703,0.382993,0.363976,0.326837,0.397673,0.512111,0.019922,0.004052,0.029837,0.120147,0.101768,0.134431,0.05249,0.146403,0.02953,0.246712,0.170197,0.119387,0.153447,0.232032,0.228103,0.130665,0.039883,0.091494,0.151755,0.33258,0.367183,0.44326,0.245016,0.433106,0.23823,0.325614,0.257048,0.247743,0.170624,0.232715,0.234859,0.143339,0.356016,0.26977,0.949255,0.612597,0.636548,0.35951,0.262303,0.266203,0.383492,0.561914,0.377058,0.336158,0.427401,0.465477,0.186844,0.135857,0.014226,0.761905,0,0.721805,0.047226,0.076644,0.061252
0,1,1,0,0,0,0.327076,0.320403,0.195328,0.645573,0.310363,0.521021,0.524004,0.46213,0.257523,0.618649,0.461708,0.494466,0.546751,0.415389,0.453843,0.380831,0.34461,0.474984,0.129746,0.304593,0.176417,0.513664,0.560061,0.49544,0.362039,0.499642,0.439594,0.224951,0.381015,0.253052,0.298783,0.182509,0.177021,0.590147,0.207937,0.215773,0.238673,0.29366,0.668734,0.367411,0.440071,0.220401,0.235775,0.154782,0.202196,0.166708,0.236267,0.081749,0.497071,0.565624,0.89655,0.57434,0.586017,0.582015,0.464527,0.550782,0.396111,0.699786,0.358416,0.190878,0.29552,0.223903,0.123214,0.090412,0.048491,0.460317,0.230324,0.43609,0.16363,0,0.234917
0,0,1,0,0,0,0.358559,0.205397,0.165055,0.599622,0.342423,0.409525,0.536237,0.511132,0.224877,0.527332,0.829975,0.563493,0.221654,0.273335,0.389333,0.422619,0.260891,0.255638,0.113408,0.233339,0.209443,0.464667,0.521765,0.375699,0.403645,0.432632,0.508297,0.375466,0.415389,0.280459,0.343659,0.260406,0.10928,0.119574,0.146589,0.182269,0.205488,0.388645,0.566144,0.31619,0.316983,0.174037,0.175634,0.13535,0.180161,0.16372,0.255521,0.092723,0.355649,0.292521,0.899599,0.523575,0.236644,0.572918,0.392491,0.289061,0.426562,0.411998,0.383268,0.236672,0.257509,0.118168,0.111609,0.087698,0.201462,0.285714,0.302842,0.270677,0.318752,0.321139,0.384624
1,0,0,0,0,0,0.553228,0.466543,0.263013,0.604399,0.223839,0.643928,0.373406,0.573937,0.377607,0.549677,0.70413,0.52666,0.815017,0.562355,0.379723,0.453283,0.46546,0.589481,0.148152,0.230786,0.147453,0.417158,0.30475,0.347393,0.397362,0.327574,0.190395,0.175117,0.27828,0.166923,0.292213,0.180362,0.32609,0.256765,0.100329,0.128852,0.204245,0.11529,0.10091,0.256227,0.175242,0.099481,0.050009,0.024596,0.041263,0.020148,0.047026,0.023183,0.319458,0.118922,0.892194,0.420592,0.207561,0.126471,0.099577,0.091672,0.085631,0.132975,0.062767,0.063357,0.062874,0.01585,0.029182,0.046207,0.738147,0.253968,0.776078,0.240602,0.687162,0.787161,0.784246
0,0,1,0,1,0,0.117628,0.038582,0.195802,0.570704,0.620466,0.512225,0.603206,0.773365,0.788284,0.531317,0.703141,0.205166,0.643069,0.536043,0.385671,0.317748,0.084821,0.097482,0.169771,0.29652,0.481354,0.476942,0.244901,0.392883,0.293353,0.514005,0.446779,0.311777,0.437502,0.298906,0.318858,0.313859,0.138093,0.20525,0.125338,0.263223,0.359982,0.262294,0.295828,0.642855,0.274976,0.226622,0.195689,0.149072,0.164013,0.143921,0.167687,0.117939,0.386405,0.298634,0.860702,0.455254,0.468468,0.62923,0.283605,0.470348,0.378681,0.43747,0.468714,0.301151,0.490773,0.177551,0.149214,0.335712,0.009171,0.761905,0.008085,0.721805,0.03585,0.061871,0.084122
0,0,0,0,1,0,0.249353,0.115706,0.150393,0.604571,0.395248,0.342006,0.535494,0.489089,0.48719,0.57279,0.727425,0.532485,0.915896,0.683977,0.257999,0.392154,0.277395,0.22137,0.116115,0.206359,0.240545,0.431501,0.382445,0.394254,0.440166,0.55674,0.246582,0.165223,0.265505,0.256709,0.343923,0.259366,0.081609,0.099545,0.217741,0.120503,0.239854,0.343137,0.42001,0.366155,0.333809,0.182768,0.108222,0.10847,0.231771,0.126894,0.188178,0.141665,0.365344,0.244309,0.868107,0.500489,0.365985,0.500167,0.52399,0.59914,0.731101,0.670149,0.186887,0.233151,0.221957,0.231367,0.156876,0.242367,0.044253,0.047619,0.031735,0.045113,0.107542,0.094288,0.094925
1,0,0,0,0,1,0.384383,0.6853,0.299679,0.552499,0.163358,0.749326,0.461542,0.657374,0.554971,0.573232,0.644338,0.500912,0.623331,0.576542,0.369785,0.459514,0.634106,0.848715,0.245773,0.409571,0.251823,0.615362,0.251697,0.256762,0.180062,0.463228,0.04522,0.171744,0.25568,0.24378,0.189286,0.13202,0.003519,0.286161,0.090877,0.101011,0.08273,0.202548,0.024966,0.068944,0.014406,0.076583,0.029648,0.042062,0.007941,0.011431,0.000087,0.022052,0.111125,0.064797,0.816143,0.365401,0.076284,0.129262,0.089776,0.095162,0.056185,0.127174,0.049418,0.064191,0.045606,0.016988,0.005034,0.056004,0.746956,0.222222,0.744889,0.210526,0.716097,0.730463,0.76204
0,0,1,1,1,0,0.14233,0.054325,0.071333,0.673542,0.683725,0.234087,0.535558,0.477317,0.769043,0.661053,0.756426,0.586382,0.330765,0.501008,0.161117,0.55977,0.064138,0.075766,0.053062,0.100417,0.216566,0.212005,0.191241,0.219164,0.248946,0.46885,0.366482,0.269587,0.326915,0.323336,0.309118,0.187933,0.058823,0.169508,0.154573,0.130005,0.39051,0.205531,0.23852,0.302459,0.18927,0.200601,0.187426,0.131788,0.213348,0.172615,0.195649,0.073225,0.361249,0.267441,0.921552,0.470244,0.467522,0.385227,0.271518,0.208823,0.304117,0.391226,0.278092,0.167323,0.218401,0.210969,0.122772,0.129662,0.15574,0.603175,0.125139,0.571429,0.287524,0.098576,0.33216
0,1,1,0,0,0,0.343322,0.321394,0.264888,0.638989,0.269008,0.420806,0.589358,0.503802,0.378073,0.495191,0.611729,0.312107,0.31771,0.56359,0.331502,0.515478,0.365733,0.521209,0.272518,0.378237,0.347093,0.348959,0.477525,0.377835,0.503714,0.793041,0.577284,0.347814,0.3679,0.409246,0.452897,0.304848,0.061902,0.182425,0.101033,0.175804,0.180139,0.245513,0.181878,0.254632,0.171551,0.213636,0.154826,0.134169,0.179759,0.099586,0.12375,0.099241,0.237363,0.316234,0.805732,0.32059,0.422558,0.29767,0.172676,0.22829,0.316607,0.731869,0.407785,0.265206,0.19253,0.117197,0.148701,0.101827,0.373145,0.571429,0.574941,0.541353,0.832075,0.05716,0.779167
0,0,0,0,1,1,0.333808,0.232241,0.270107,0.698658,0.4227,0.563822,0.497937,0.489561,0.405969,0.633509,0.492972,0.330648,0.332819,0.288698,0.315895,0.441538,0.48994,0.546325,0.156382,0.305565,0.488431,0.436444,0.595957,0.611622,0.516052,0.787191,0.764307,0.451302,0.739639,0.67305,0.668701,0.364095,0.210831,0.237304,0.236175,0.170425,0.258969,0.201132,0.24955,0.331269,0.237121,0.259958,0.154432,0.144593,0.320087,0.326246,0.153723,0.101049,0.809644,0.3201,0.880957,0.386031,0.441101,0.398645,0.386771,0.495904,0.347307,0.368715,0.249262,0.161169,0.379548,0.311112,0.13616,0.111599,0.056409,0.619048,0.038984,0.586466,0.103687,0.186766,0.209432
0,0,1,1,1,0,0.109421,0.00917,0.126389,0.544659,0.55658,0.649295,0.505859,0.63709,0.319702,0.685271,0.876265,0.320135,0.938331,0.75222,0.224493,0.397749,0.05122,0.048587,0.095167,0.144614,0.251143,0.169841,0.155595,0.180451,0.158418,0.462889,0.322631,0.157781,0.311984,0.254028,0.265772,0.21253,0.039724,0.077445,0.113068,0.192919,0.28369,0.116422,0.30265,0.423248,0.175549,0.45419,0.128146,0.122872,0.290679,0.185257,0.14581,0.082702,0.382678,0.311494,0.904565,0.526194,0.373797,0.264751,0.273798,0.257134,0.289504,0.488146,0.333146,0.112745,0.209042,0.167287,0.142365,0.10672,0.044138,0.079365,0.042809,0.075188,0.151317,0.102147,0.159241
1,0,0,0,0,1,0.435395,0.277948,0.145852,0.865846,0.278029,0.387783,0.386372,0.413149,0.30205,0.53703,0.502229,0.425465,0.780849,0.361563,0.358969,0.325757,0.262254,0.287113,0.062689,0.167285,0.208067,0.263508,0.433361,0.47271,0.428704,0.506044,0.455145,0.29032,0.51595,0.320521,0.401486,0.273051,0.093522,0.152802,0.164084,0.03886,0.131867,0.235041,0.332022,0.436807,0.205412,0.240631,0.142991,0.094316,0.234231,0.078242,0.114678,0.071436,0.305889,0.274857,0.911099,0.42808,0.280643,0.287131,0.282974,0.344584,0.467306,0.408066,0.235041,0.162252,0.279994,0.069944,0.131247,0.113164,0.16247,0.603175,0.236405,0.571429,0.317625,0.108762,0.397799
0,1,0,0,0,0,0.258295,0.209386,0.108531,0.896316,0.31688,0.333391,0.559384,0.453597,0.399569,0.502147,0.599836,0.343797,0.541334,0.498683,0.294023,0.353176,0.189669,0.283843,0.082515,0.0474,0.164338,0.209698,0.180898,0.200324,0.151086,0.22539,0.216169,0.092724,0.221326,0.173057,0.13802,0.118098,0.110197,0.171606,0.152929,0.068471,0.139343,0.101209,0.328672,0.200461,0.150395,0.112494,0.150554,0.042402,0.115874,0.104339,0.084545,0.044888,0.374066,0.386282,0.917937,0.395219,0.274326,0.182763,0.247285,0.237495,0.15173,0.314047,0.23198,0.05382,0.212333,0.096187,0.028966,0.057898,0.105677,0.238095,0.120017,0.225564,0.445062,0.174787,0.316912
0,1,0,0,0,0,0.426395,0.247879,0.106373,0.694336,0.289445,0.35377,0.594185,0.413239,0.471301,0.613994,0.553266,0.356541,0.39218,0.391925,0.41231,0.512836,0.224794,0.191674,0.062447,0.345905,0.164313,0.532194,0.085998,0.243317,0.161671,0.309374,0.209889,0.134326,0.275342,0.268747,0.331101,0.315344,0.099726,0.132518,0.105025,0.282775,0.203108,0.359486,0.153893,0.247418,0.216217,0.172111,0.135206,0.077812,0.106334,0.222,0.11353,0.147762,0.249445,0.234852,0.924384,0.345509,0.17318,0.565386,0.148455,0.231369,0.205776,0.447777,0.114961,0.119847,0.144151,0.113846,0.155612,0.285477,0.008161,0.190476,0.110042,0.180451,0.059028,0.172763,0.14144
0,0,0,0,0,1,0.586418,0.370351,0.307146,0.608651,0.272404,0.504299,0.510486,0.592811,0.249621,0.741155,0.51208,0.36036,0.454799,0.402908,0.438048,0.381799,0.636998,0.515211,0.201633,0.33969,0.462949,0.793939,0.776998,0.650766,1,0.881909,0.724453,0.351451,0.541992,0.446055,0.502643,0.268172,0.432067,0.432049,0.227369,0.196673,0.223935,0.276515,0.327673,0.490697,0.362286,0.217051,0.118015,0.07111,0.144791,0.09124,0.094615,0.050236,0.87918,0.315337,0.842582,0.399503,0.425068,0.507614,0.442486,0.538432,0.469623,0.591786,0.425305,0.193361,0.223805,0.220104,0.125043,0.099492,0.003417,0.603175,0.076703,0.571429,0.01103,0.04572,0.125298
0,0,0,0,0,1,0.335353,0.397436,0.182293,0.746418,0.168898,0.507405,0.394693,0.66221,0.286285,0.37999,0.520619,0.524056,0.317059,0.535404,0.369843,0.314996,0.312904,0.611468,0.113331,0.228242,0.266259,0.295414,0.607142,0.543551,0.362855,0.5624,0.761123,0.372502,0.59112,0.410031,0.493144,0.284941,0.118554,0.31358,0.194963,0.081861,0.15347,0.059748,0.178275,0.336002,0.176408,0.131916,0.123028,0.12321,0.125803,0.090032,0.095179,0.064886,0.329704,0.285164,0.889363,0.382202,0.235974,0.222258,0.434051,0.455478,0.291087,0.443583,0.504775,0.249103,0.272794,0.147027,0.124594,0.106623,0.016491,0.603175,0.029582,0.571429,0.088305,0.055227,0.087683
